lat,lon,type
-27.578465,153.101774,10824
-27.578405,153.101819,0
-27.577874,153.10145,0
-27.577541,153.101218,0
-27.577056,153.100882,0
-27.575685,153.1,0
-27.575197,153.099544,0
-27.574589,153.098728,0
-27.572668,153.095729,0
-27.570907,153.092565,0
-27.570227,153.0914,0
-27.569429,153.090274,0
-27.568803,153.08914,0
-27.568173,153.087605,0
-27.567749,153.086685,0
-27.567295,153.08592,0
-27.565946,153.083846,0
-27.565188,153.082664,0
-27.564327,153.081781,0
-27.564043,153.081306,10822
-27.564023,153.081324,0
-27.563794,153.080978,0
-27.563029,153.079493,0
-27.562349,153.078435,0
-27.561085,153.076841,0
-27.558987,153.074617,0
-27.557353,153.07321,0
-27.553752,153.070156,0
-27.551879,153.068629,0
-27.549353,153.066495,0
-27.548838,153.066151,0
-27.548457,153.06595,0
-27.547884,153.065668,0
-27.547487,153.0654,0
-27.547059,153.06496,0
-27.546536,153.064339,0
-27.54655,153.064253,10820
-27.546504,153.064302,0
-27.546411,153.064191,0
-27.545817,153.063571,0
-27.545473,153.063231,0
-27.545041,153.062842,0
-27.544044,153.062025,0
-27.543042,153.061329,0
-27.541873,153.060645,0
-27.541193,153.06031,0
-27.540203,153.059935,0
-27.539154,153.059653,0
-27.538509,153.059533,0
-27.537698,153.059425,0
-27.537149,153.059278,0
-27.535921,153.058796,0
-27.535384,153.058621,0
-27.534585,153.058466,0
-27.530886,153.057668,0
-27.530373,153.057581,0
-27.529866,153.057567,0
-27.529294,153.057534,0
-27.52884,153.057466,0
-27.528343,153.057272,10818
-27.528329,153.057341,0
-27.528238,153.057319,0
-27.527713,153.057165,0
-27.526908,153.056796,0
-27.526282,153.056528,0
-27.52544,153.056261,0
-27.525055,153.056079,0
-27.524542,153.055795,0
-27.523837,153.055326,0
-27.522993,153.054636,0
-27.52214,153.053953,0
-27.521394,153.053321,0
-27.520024,153.052155,0
-27.519305,153.051584,0
-27.518804,153.05119,0
-27.518225,153.050619,0
-27.517594,153.04988,0
-27.516988,153.048964,0
-27.516339,153.047694,0
-27.51401,153.042954,0
-27.513688,153.042391,0
-27.513467,153.042078,0
-27.513104,153.041662,0
-27.512656,153.04126,0
-27.512316,153.040993,0
-27.51169,153.040665,0
-27.511216,153.040393,0
-27.510793,153.040072,10816
-27.510764,153.040134,0
-27.510738,153.040119,0
-27.509868,153.03962,0
-27.509174,153.039278,0
-27.508873,153.039169,0
-27.508543,153.039082,0
-27.508188,153.039019,0
-27.507827,153.038984,0
-27.507431,153.038988,0
-27.507108,153.039021,0
-27.506722,153.039088,0
-27.505876,153.039275,0
-27.502274,153.03995,0
-27.501629,153.040104,0
-27.501078,153.040224,0
-27.500597,153.040275,0
-27.499744,153.040276,0
-27.499246,153.040226,0
-27.498836,153.040184,0
-27.498769,153.040177,0
-27.498669,153.040159,0
-27.498508,153.040124,0
-27.497872,153.039898,0
-27.497631,153.039778,0
-27.497545,153.039736,0
-27.497284,153.0395,0
-27.497017,153.039269,0
-27.497022,153.039184,10814
-27.496984,153.03924,0
-27.49597,153.038361,0
-27.495407,153.037895,0
-27.495464,153.037816,0
-27.495598,153.037666,0
-27.496653,153.036847,0
-27.496787,153.03668,0
-27.496877,153.036354,0
-27.496892,153.036103,0
-27.496803,153.035258,0
-27.496786,153.034851,0
-27.496834,153.034383,0
-27.496831,153.034197,0
-27.496803,153.034014,0
-27.496841,153.033846,10798
-27.496779,153.033859,0
-27.496741,153.033614,0
-27.49673,153.0334,0
-27.496606,153.03257,0
-27.49653,153.032178,0
-27.496402,153.03185,0
-27.496115,153.031482,0
-27.495852,153.031329,0
-27.495683,153.031279,0
-27.495525,153.031259,0
-27.495189,153.031242,0
-27.495043,153.031223,0
-27.4948,153.031158,0
-27.494515,153.031021,0
-27.494414,153.030939,0
-27.494316,153.03086,0
-27.494135,153.030621,0
-27.493932,153.030193,10796
-27.493881,153.030234,0
-27.493806,153.030121,0
-27.493771,153.030067,0
-27.493671,153.029864,0
-27.493638,153.029639,0
-27.493698,153.029466,0
-27.493798,153.029314,0
-27.493982,153.029207,0
-27.494331,153.029145,0
-27.494565,153.029078,0
-27.495793,153.028397,0
-27.496665,153.027514,0
-27.496986,153.026876,0
-27.497251,153.026377,0
-27.497674,153.025696,0
-27.497924,153.025275,0
-27.497997,153.024907,0
-27.498012,153.024587,0
-27.498096,153.024484,18056
-27.498005,153.024493,0
-27.497986,153.024251,0
-27.497927,153.023891,0
-27.49791,153.023638,0
-27.497668,153.019162,0
-27.497667,153.018998,0
-27.497686,153.018839,0
-27.497728,153.018678,0
-27.497769,153.018557,0
-27.497823,153.018445,0
-27.497863,153.018377,0
-27.497907,153.018307,0
-27.497965,153.018227,0
-27.497984,153.01817,0
-27.49805,153.018077,1882
-27.497987,153.018081,0
