lat,lon,type
-27.470544,153.024264,999
-27.471515,153.022868,0
-27.471565,153.022706,0
-27.471595,153.022656,0
-27.471633,153.022574,0
-27.47166,153.022404,0
-27.472834,153.020147,0
-27.472972,153.019898,0
-27.473278,153.019468,0
-27.47366,153.01888,11168
-27.473606,153.018844,0
-27.47382,153.018438,0
-27.473925,153.018304,0
-27.474007,153.018187,0
-27.474261,153.017743,0
-27.474317,153.017709,0
-27.474358,153.017705,0
-27.474403,153.017709,0
-27.474482,153.017755,0
-27.474792,153.01797,0
-27.475382,153.01843,0
-27.4777,153.020076,0
-27.478318,153.020391,0
-27.479626,153.021272,0
-27.480572,153.021817,0
-27.481012,153.022202,19064
-27.481046,153.022141,0
-27.481401,153.022385,0
-27.481651,153.02249,0
-27.481933,153.022645,0
-27.482127,153.022797,0
-27.482277,153.023018,0
-27.48247,153.02336,0
-27.482614,153.023665,0
-27.482694,153.023935,0
-27.48279,153.024295,0
-27.483255,153.026632,0
-27.483415,153.02683,0
-27.483752,153.02719,0
-27.484345,153.027855,0
-27.484396,153.027998,0
-27.484419,153.02811,0
-27.484438,153.028209,0
-27.484445,153.02824,0
-27.484457,153.028308,0
-27.484413,153.028393,19063
-27.484471,153.028378,0
-27.484512,153.028605,0
-27.484531,153.02872,0
-27.484546,153.02882,0
-27.484816,153.030593,0
-27.48488,153.031078,0
-27.48497,153.031463,0
-27.485074,153.0318,0
-27.485159,153.032027,0
-27.485261,153.032242,0
-27.485375,153.032367,0
-27.48549,153.032463,0
-27.485628,153.03256,0
-27.485794,153.032609,0
-27.486273,153.032557,0
-27.486607,153.032546,0
-27.48695,153.032597,0
-27.487412,153.032772,0
-27.487815,153.032933,0
-27.488061,153.033019,0
-27.488409,153.033118,0
-27.489308,153.033296,0
-27.489684,153.033399,0
-27.490279,153.033557,0
-27.490948,153.033813,0
-27.491343,153.034023,0
-27.491846,153.034413,0
-27.492219,153.034814,0
-27.49266,153.035378,0
-27.493256,153.036094,0
-27.49392,153.036688,0
-27.494677,153.037316,0
-27.494835,153.037443,0
-27.495407,153.037895,0
-27.49597,153.038361,0
-27.497017,153.039269,0
-27.497284,153.0395,0
-27.497275,153.039582,10813
-27.497314,153.039527,0
-27.497545,153.039736,0
-27.497631,153.039778,0
-27.497872,153.039898,0
-27.498508,153.040124,0
-27.498669,153.040159,0
-27.498769,153.040177,0
-27.498836,153.040184,0
-27.499246,153.040226,0
-27.499744,153.040276,0
-27.499823,153.040324,0
-27.500057,153.040356,0
-27.500473,153.040388,0
-27.500975,153.040364,0
-27.501561,153.040234,0
-27.501656,153.040248,0
-27.501736,153.040287,0
-27.501797,153.040351,0
-27.501864,153.040416,0
-27.501964,153.041125,0
-27.504346,153.040705,0
-27.505518,153.040551,3780
-27.50551,153.04049,0
-27.507073,153.040202,0
-27.508402,153.039947,0
-27.508764,153.039891,0
-27.509533,153.039279,0
